movie_title,actor_name
Barbie and the Diamond Castle,Kelly Sheridan
Barbie and the Diamond Castle,Melissa Lyons
Barbie and the Diamond Castle,Cassidy Ladden
Barbie and the Diamond Castle,Chantal Strand
Barbie and the Three Musketeers,Kelly Sheridan
Barbie and the Three Musketeers,Tim Curry
Barbie and the Three Musketeers,Kira Tozer
Barbie and the Three Musketeers,Willow Johnson
Barbie in the Pink Shoes,Kelly Sheridan
Barbie in the Pink Shoes,Katie Crown
Barbie in the Pink Shoes,Ali Liebert
Barbie and the Secret Door,Kelly Sheridan
Barbie and the Secret Door,Brittany McDonald
Barbie and the Secret Door,Ashleigh Ball
Barbie in a Mermaid Tale,Kelly Sheridan
Barbie in a Mermaid Tale,Kathleen Barr
Barbie in a Mermaid Tale,Tabitha St. Germain
Barbie in a Mermaid Tale,Peter Mel
Barbie Mariposa and The Fairy Princess,Kelly Sheridan
Barbie Mariposa and The Fairy Princess,Maryke Hendrikse
Barbie Mariposa and The Fairy Princess,Tabitha St. Germain
Barbie: Princess Charm School,Diana Kaarina
Barbie: Princess Charm School,Morwenna Banks
Barbie: Princess Charm School,Nicole Oliver
Barbie: Princess Charm School,Brittney Wilson
Barbie Mariposa and Her Butterfly Fairy Friends,Chiara Zanni
Barbie Mariposa and Her Butterfly Fairy Friends,Tabitha St. Germain
Barbie Mariposa and Her Butterfly Fairy Friends,Kathleen Barr
Barbie Mariposa and Her Butterfly Fairy Friends,Erin Mathews
Barbie in 'A Christmas Carol',Kelly Sheridan
Barbie in 'A Christmas Carol',Morwenna Banks
Barbie in 'A Christmas Carol',Melissa Lyons
Barbie in 'A Christmas Carol',Prudence Edwards
Barbie Fairytopia: Magic of the Rainbow,Kelly Sheridan
Barbie Fairytopia: Magic of the Rainbow,Lee Tockar
Barbie Fairytopia: Magic of the Rainbow,Kathleen Barr
Barbie Fairytopia: Magic of the Rainbow,Christopher Gaze
Barbie: A Fashion Fairytale,Diana Kaarina
Barbie: A Fashion Fairytale,Adrian Petriw
Barbie: A Fashion Fairytale,Tabitha St. Germain
Barbie: A Fashion Fairytale,Patricia Drake
Barbie Diaries,Kelly Sheridan
Barbie Diaries,Sarah Edmondson
Barbie Diaries,Venus Terzo
Barbie Diaries,Chiara Zanni
The Shrimp on the Barbie,Cheech Marin
The Shrimp on the Barbie,Emma Samms
The Shrimp on the Barbie,Vernon Wells
Barbie Presents: Thumbelina,Kelly Sheridan
Barbie Presents: Thumbelina,Anna Cummer
Barbie Presents: Thumbelina,Kelly Metzger
Barbie Presents: Thumbelina,Tabitha St. Germain
Barbie: A Fairy Secret,Diana Kaarina
Barbie: A Fairy Secret,Adrian Petriw
Barbie: A Fairy Secret,Britt Irvin
Barbie: A Fairy Secret,Cassandra Lee Morris
Barbie in a Mermaid Tale 2,Kelly Sheridan
Barbie in a Mermaid Tale 2,Ashleigh Ball
Barbie in a Mermaid Tale 2,Kathleen Barr
Barbie in a Mermaid Tale 2,Nicole Oliver
Barbie in Rock 'N Royals,Kelly Sheridan
Barbie in Rock 'N Royals,Chiara Zanni
Barbie in Rock 'N Royals,Bethany Brown
Barbie in Princess Power,Kelly Sheridan
Barbie in Princess Power,Britt Irvin
Barbie in Princess Power,Michael Kopsa
Barbie: Star Light Adventure,Erica Lindbeck
Barbie: Star Light Adventure,Robbie Daymond
Barbie: Star Light Adventure,Kimberly Woods
Barbie: The Pearl Princess,Kelly Sheridan
Barbie: The Pearl Princess,Katie Crown
Barbie: The Pearl Princess,Mark Oliver
Barbie: The Pearl Princess,Rebecca Shoichet
Barbie: A Perfect Christmas,Diana Kaarina
Barbie: A Perfect Christmas,Jennifer Waris
Barbie: A Perfect Christmas,Rachel Drance
Barbie: A Perfect Christmas,Nevada Brandt
Barbie & Her Sisters in a Pony Tale,Kelly Sheridan
Barbie & Her Sisters in a Pony Tale,Kazumi Evans
Barbie & Her Sisters in a Pony Tale,Claire Margaret Corlett
Barbie & Her Sisters in a Pony Tale,Ashlyn Drummond
Barbie: Spy Squad,Erica Lindbeck
Barbie: Spy Squad,Stephanie Sheh
Barbie: Spy Squad,Jenny Pellicer
Barbie: Spy Squad,Alyssya Swales
Barbie Princess Adventure,Ogie Banks
Barbie Princess Adventure,Eamon Brennan
Barbie Princess Adventure,Nakia Burrise
Black Barbie: A Documentary,Lagueria Davis
Black Barbie: A Documentary,Beulah Mae Mitchell
Black Barbie: A Documentary,Maxine Waters
Barbie: Dolphin Magic,Erica Lindbeck
Barbie: Dolphin Magic,Shannon Chan-Kent
Barbie: Dolphin Magic,Kazumi Evans
Barbie: Dolphin Magic,Claire Margaret Corlett
Barbie: Big City  Big Dreams,America Young
Barbie: Big City  Big Dreams,Amber May
Barbie: Big City  Big Dreams,Greg Chun
Barbie & Her Sisters in the Great Puppy Adventure,Kelly Sheridan
Barbie & Her Sisters in the Great Puppy Adventure,Kazumi Evans
Barbie & Her Sisters in the Great Puppy Adventure,Claire Margaret Corlett
Barbie & Her Sisters in the Great Puppy Adventure,Alyssya Swales
Barbie Video Game Hero,Erica Lindbeck
Barbie Video Game Hero,Sienna Bohn
Barbie Video Game Hero,Shannon Chan-Kent
Barbie Video Game Hero,Michael Dobson
Aqua: Barbie Girl,Aqua
Aqua: Barbie Girl,René Dif
Aqua: Barbie Girl,Claus Norreen
Aqua: Barbie Girl,Lene Nystrøm
Tiny Shoulders  Rethinking Barbie,Ruth Handler
Tiny Shoulders  Rethinking Barbie,Richard Dickson
Tiny Shoulders  Rethinking Barbie,Kristina Duncan
Barbie: Mermaid Power,Johnny Yong Bosch
Barbie: Mermaid Power,Tiana Camacho
Barbie: Mermaid Power,Kirsten Day
Barbie and the Rockers: Out of This World,Sharon Lewis
Barbie and the Rockers: Out of This World,Debbie Lick
Barbie and the Rockers: Out of This World,Viktoria Langton
Barbie,Lee Cheon-hee
Barbie,Kim Sae-ron
Barbie,Ah-ron Kim
Barbie & Her Sisters in a Puppy Chase,Alex Barima
Barbie & Her Sisters in a Puppy Chase,Kathleen Barr
Barbie & Her Sisters in a Puppy Chase,Natasha Calis
Barbie & Her Sisters in a Puppy Chase,Alice Campbell
Barbie: Skipper and the Big Babysitting Adventure,Kirsten Day
Barbie: Skipper and the Big Babysitting Adventure,Ogie Banks
Barbie: Skipper and the Big Babysitting Adventure,Laila Berzins
Barbie & Kendra Storm Area 51,Jill Bartlett
Barbie & Kendra Storm Area 51,Patrick Bristow
Barbie & Kendra Storm Area 51,Cody Renee Cameron
Barbie & Her Sisters in a Pony Tale,Kelly Sheridan
Barbie & Her Sisters in a Pony Tale,Kazumi Evans
Barbie & Her Sisters in a Pony Tale,Claire Corlett
Barbie & Her Sisters in a Pony Tale,Ashlyn Drummond
Mindhunter,John Douglas
Mindhunter,Donald Harvey
Mindhunter,Joseph Kondro
True Detective: Matthew McConaughey Out Takes,Pete Handelman
Making True Detective,Nic Pizzolatto
Making True Detective,Woody Harrelson
Making True Detective,Matthew McConaughey
True Detective: Yellow King Theory,Cullen Crawford
True Detective Pikachu,Alynna Agnew
True Detective Pikachu,Brandi Ball
True Detective Pikachu,Bill Bria
Samurai Detective Onihei: True Master,Shôhei Hino
Samurai Detective Onihei: True Master,Yuri Nakamura
Samurai Detective Onihei: True Master,Atsuko Sendô
